\Vis,Visualization Technique,Vis Format,Item ID,# Answer Choice,Answer,Task,vis_file,caption,option_1,option_2,option_3,option_4,question
"Terrain Map of the Roberts Mountains, Nevada","Glyph, Mesh, Plot",Image,item01,4,3,Quantitative Estimation - Absolute Estimation,vis01.png,"Terrain map of the Roberts Mountains, Nevada, showing contour lines that represent locations of equal elevation (in feet). The green woodland tint indicates areas classified as woodland (>=20% tree cover), while white areas are not mapped as woodland.",6624 ft,6728 ft,6863 ft,6942 ft,What is the elevation of waypoint D?
"Terrain Map of the Roberts Mountains, Nevada","Glyph, Mesh, Plot",Image,item02,4,3,Quantitative Estimation - Relative Estimation (Binary),vis01.png,"Terrain map of the Roberts Mountains, Nevada, showing contour lines that represent locations of equal elevation (in feet). The green woodland tint indicates areas classified as woodland (>=20% tree cover), while white areas are not mapped as woodland.",Waypoint A,Waypoint B,Waypoint C,Waypoint D,Which waypoint has the highest elevation?
"Terrain Map of the Roberts Mountains, Nevada","Glyph, Mesh, Plot",Image,item03,4,2,Quantitative Estimation - Relative Estimation (Quantitative),vis01.png,"Terrain map of the Roberts Mountains, Nevada, showing contour lines that represent locations of equal elevation (in feet). The green woodland tint indicates areas classified as woodland (>=20% tree cover), while white areas are not mapped as woodland.",275 ft,350 ft,425 ft,500 ft,By approximately how many feet does the elevation of waypoint A exceed that of waypoint D?
"Terrain Map of the Roberts Mountains, Nevada","Glyph, Mesh, Plot",Image,item04,4,4,Pattern Recognition - Trend,vis01.png,"Terrain map of the Roberts Mountains, Nevada, showing contour lines that represent locations of equal elevation (in feet). The green woodland tint indicates areas classified as woodland (>=20% tree cover), while white areas are not mapped as woodland.",increases,decreases,"increases, then decreases","decreases, then increases","Moving from waypoint C to waypoint A along a straight line, the elevation ______ ."
"Terrain Map of the Roberts Mountains, Nevada","Glyph, Mesh, Plot",Image,item05,4,1,Pattern Recognition - Trend,vis01.png,"Terrain map of the Roberts Mountains, Nevada, showing contour lines that represent locations of equal elevation (in feet). The green woodland tint indicates areas classified as woodland (>=20% tree cover), while white areas are not mapped as woodland.","steep at first, then gentler","gentle at first, then steeper",consistently getting gentler,consistently getting steeper,"Moving from waypoint C to waypoint B along a straight line, the slope is _______ ."
Hurricane Laura Forecast,"Glyph, Mesh, Plot",Image,item07,2,2,Search - Presence/Absence,vis02.png,"Forecast track of Hurricane Laura from 10 AM Tuesday, August 25, 2020, to 7 AM Sunday, August 30, 2020.",TRUE,FALSE,,,"From 7 AM Wed to 7 AM Sun, sustained winds do not exceed 110 mph anywhere along the forecast track."
Hurricane Laura Forecast,"Glyph, Mesh, Plot",Image,item09,4,2,Spatial Understanding - Absolute,vis02.png,"Forecast track of Hurricane Laura from 10 AM Tuesday, August 25, 2020, to 7 AM Sunday, August 30, 2020.",Southeast,Northwest,South,North,"From 10 AM Tue to 7 PM Wed, in which direction does the hurricane primarily move?"
Hurricane Laura Forecast,"Glyph, Mesh, Plot",Image,item10,4,2,Spatial Understanding - Absolute,vis02.png,"Forecast track of Hurricane Laura from 10 AM Tuesday, August 25, 2020, to 7 AM Sunday, August 30, 2020.",7 AM Wed and 7 PM Wed,7 PM Wed and 7 AM Thu,7 AM Thu and 7 PM Thu,7 AM Fri and 7 AM Sat ,The hurricane is expected to reach the coast between ___.
Hurricane Laura Forecast,"Glyph, Mesh, Plot",Image,item12,4,4,Pattern Recognition - Trend,vis02.png,"Forecast track of Hurricane Laura from 10 AM Tuesday, August 25, 2020, to 7 AM Sunday, August 30, 2020.",increases,decreases,decreases then increases,increases then decreases,"From 10 AM Tue to 7 AM Fri, the hurricane's sustained wind speed _____."
Sea Surface Temperature Trend,Color Mapping,Image,item13,4,3,Quantitative Estimation - Absolute Estimation,vis03.png,"Global map of weekly sea surface temperature trends, showing ocean regions colored by temperature change (degC per week) over the past seven days as of January 1, 2025.",decreased by 2.25 degC per week,decreased by 1.25 degC per week,stayed approximately the same,increased by 1.25 degC per week,"During the past week, the sea surface temperatures in the Pacific Ocean between 0-20N and 140-160E mostly ____ ."
Sea Surface Temperature Trend,Color Mapping,Image,item14,4,1,Quantitative Estimation - Relative Estimation (Binary),vis03_01.png,"Global map of weekly sea surface temperature trends, showing ocean regions colored by temperature change (degC per week) over the past seven days as of January 1, 2025.",Region A,Region B,Region C,Region D,Which ocean region has cooled the most over the past week?
Sea Surface Temperature Trend,Color Mapping,Image,item15,2,1,Search - Presence/Absence,vis03.png,"Global map of weekly sea surface temperature trends, showing ocean regions colored by temperature change (degC per week) over the past seven days as of January 1, 2025.",TRUE,FALSE,,,At least one region of the Atlantic Ocean experiences strong warming (greater than 2 degC per week).
Sea Surface Temperature Trend,Color Mapping,Image,item16,4,2,Pattern Recognition - Trend,vis03.png,"Global map of weekly sea surface temperature trends, showing ocean regions colored by temperature change (degC per week) over the past seven days as of January 1, 2025.","The North Pacific is mostly warming, while the South Pacific is mostly cooling.","The North Pacific is mostly unchanged or cooling, while the South Pacific is mostly warming.",Both the North and South Pacific are mostly warming.,Both the North and South Pacific are mostly unchanged.,What are the trends in sea surface temperatures across the Pacific Ocean over the past week?
Wind Map of the United States,Texture-Based Visualization,Video,item17,4,2,Pattern Recognition - Trend,vis04.mp4,A dynamic map showing wind patterns across the contiguous United States.,Wind speeds are higher along the West Coast than in the central United States.,The range of wind speeds is larger in the central United States than along the West Coast.,The range of wind speeds is smaller in the central United States than along the East Coast.,Wind speeds are approximately equal along the East and West Coasts.,Which statement most accurately describes the overall wind pattern?
Wind Map of the United States,Texture-Based Visualization,Video,item18,4,4,Quantitative Estimation - Relative Estimation (Binary),vis04.mp4,A dynamic map showing wind patterns across the contiguous United States.,Seattle,Denver,Dallas,New York,Which city has the highest wind speed?
