item_num,vis_file,question,internvl_correct_1,internvl_correct_2,internvl_correct_3,internvl_correct_4,internvl_correct_5,internvl_correct_6,internvl_correct_7,internvl_correct_8,internvl_correct_9,internvl_correct_10,internvl_predicted_1,internvl_predicted_2,internvl_predicted_3,internvl_predicted_4,internvl_predicted_5,internvl_predicted_6,internvl_predicted_7,internvl_predicted_8,internvl_predicted_9,internvl_predicted_10,internvl_score_1,internvl_score_2,internvl_score_3,internvl_score_4,internvl_score_5,internvl_score_6,internvl_score_7,internvl_score_8,internvl_score_9,internvl_score_10,internvl_rationale_1,internvl_rationale_2,internvl_rationale_3,internvl_rationale_4,internvl_rationale_5,internvl_rationale_6,internvl_rationale_7,internvl_rationale_8,internvl_rationale_9,internvl_rationale_10
1,vis01.png,What is the elevation of waypoint D?,A,C,B,C,A,D,B,D,B,C,A,C,B,C,A,D,B,D,B,C,1,1,1,1,1,1,1,1,1,1,"Waypoint D is located on a contour line labeled 6800 ft. Given the contour interval is 40 feet, the closest elevation value above 6800 ft is 6863 ft.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation should be slightly higher. The closest option is 6863 ft.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation is slightly higher. The closest option is 6863 ft.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation should be slightly higher. The closest option is 6863 ft.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation should be slightly above 6800 ft. The closest option is 6863 ft.","Waypoint D is located just past the 6800 feet contour line but before the 6840 feet contour line, indicating an elevation slightly above 6800 feet. The closest option is 6863 feet.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation should be slightly above 6800 ft. The closest option is 6863 ft.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation is slightly above 6800 ft. The closest option is 6863 ft.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation should be slightly higher. The closest option is 6863 ft.","Waypoint D is near the 6800 ft contour line, and given the contour interval of 40 feet, the elevation is likely just above this line. The closest option that fits within the expected range is 6863 ft."
2,vis01.png,Which waypoint has the highest elevation?,A,C,B,C,A,D,B,D,B,C,B,A,C,A,B,D,A,A,C,D,0,0,0,0,0,1,0,0,0,0,"Waypoint A is located near the 7400 feet contour line, which is higher than the contour lines near the other waypoints. The contour interval is 40 feet, and the 7400 feet line is the highest elevation indicated near any of the waypoints.","Waypoint D is located near the highest contour line labeled 6800 feet, which is the highest elevation shown on the map among the given options.","Waypoint D is closest to the 7000 feet contour line, indicating it has the highest elevation compared to the other waypoints.","Waypoint D is located near the highest contour line labeled 6800 feet, which is the highest elevation shown on the map among the given options.","Waypoint A is closest to the 7400 feet contour line, indicating it has the highest elevation among the options provided.","Waypoint C is located within the 7400 feet contour line, indicating a higher elevation compared to other waypoints. Waypoint D is on the 6800 feet contour line, which is lower. Thus, Waypoint C has the highest elevation.","Waypoint D is located near the highest contour line labeled 6800 feet, which is the highest elevation shown on the map among the given waypoints.","Waypoint D is located near the highest contour line labeled 6800 feet, which is higher than the contour lines around the other waypoints.","Waypoint D is closest to the highest contour line labeled 6800 feet, indicating it has the highest elevation among the waypoints shown.","Waypoint D is located on a contour line labeled 7000 feet, which is higher than the contour lines around the other waypoints. The contour lines around Waypoint A are labeled 7400 feet, but since Waypoint D is on a higher contour line, it indicates a higher elevation."
3,vis01.png,By approximately how many feet does the elevation of waypoint A exceed that of waypoint D?,C,D,A,D,D,B,C,B,D,B,A,C,A,C,A,B,B,B,B,B,0,0,1,0,0,1,0,1,0,1,"Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, but considering the position within the contour lines, the closest answer is 425 feet.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, which is closest to 425 feet given the contour interval of 40 feet.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, but considering the position within the contour lines, the closest answer is 350 feet.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, which is closest to 425 feet given the contour interval of 40 feet.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, but considering the contour interval and exact positioning, 425 feet is the closest option.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, but considering the closest answer option, 350 feet is the best estimate.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, and the closest answer option is 425 feet.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, but considering the exact positions within the contour lines, the closest answer is 350 feet.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, but considering the contour interval and exact positioning, 425 feet is the closest option.","Waypoint A is near the 7200-foot contour line, and waypoint D is near the 6800-foot contour line. The difference in elevation is approximately 400 feet, but considering the closest answer option, 350 feet is the best estimate."
4,vis01.png,"Moving from waypoint C to waypoint A along a straight line, the elevation ______ .",D,A,C,A,C,C,A,A,C,D,B,A,D,A,B,A,D,C,A,A,0,1,0,1,0,0,0,0,0,0,"The contour lines show an increase in elevation from waypoint C to waypoint A, as the path crosses from lower to higher elevation contours.","The contour lines show a decrease in elevation from C to the lowest point, then an increase towards A.","The contour lines show an increase in elevation from waypoint C to waypoint A, as the path crosses from lower to higher elevation contours.","The contour lines show a decrease in elevation from C to the lowest point, then an increase towards A.","The contour lines show an increase in elevation from waypoint C to waypoint A, as the path crosses from lower to higher elevation contours.","The contour lines show an increase in elevation from waypoint C to waypoint A, as the elevation numbers increase from 7200 to 7400 feet.","The contour lines show an increase in elevation from waypoint C to waypoint A, as the path crosses from lower to higher elevation contours.","The contour lines show an increase in elevation from waypoint C to waypoint A, as the path crosses from lower to higher elevation contours.","The contour lines show an increase in elevation from waypoint C to waypoint A, as the path crosses from lower to higher elevation contours.","The contour lines show a general upward trend from waypoint C to waypoint A, indicating an increase in elevation."
5,vis01.png,"Moving from waypoint C to waypoint B along a straight line, the slope is _______ .",B,B,D,B,B,A,D,C,A,A,D,D,C,D,C,A,D,C,C,A,0,0,0,0,0,1,1,1,0,1,"The contour lines become closer together as you move from C to B, indicating an increase in slope steepness.","The contour lines are spaced further apart near waypoint C, indicating a gentler slope. As the contour lines get closer together near waypoint B, the slope becomes steeper.","The contour lines between waypoints C and B are getting closer together, indicating an increase in elevation over a shorter horizontal distance, which means the slope is consistently getting steeper.","The contour lines are spaced further apart near waypoint C, indicating a gentler slope. As the contour lines get closer together near waypoint B, the slope becomes steeper.","The contour lines become closer together as you move from C to B, indicating an increase in slope steepness.","The contour lines are closer together near waypoint C, indicating a steeper slope, and become more spaced out near waypoint B, indicating a gentler slope.","The contour lines are closer together near waypoint C, indicating a steeper slope. As the line moves towards waypoint B, the contour lines spread out, showing a gentler slope.","The contour lines are closer together near waypoint C, indicating a steeper slope, and they spread out as they approach waypoint B, indicating a gentler slope.","The contour lines become closer together as you move from C to B, indicating an increase in slope steepness.","The contour lines are closer together near waypoint C, indicating a steeper slope, and become more spaced out near waypoint B, indicating a gentler slope."
6,vis02.png,"From 7 AM Wed to 7 AM Sun, sustained winds do not exceed 110 mph anywhere along the forecast track.",B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,0,1,1,1,1,0,1,0,1,0,"The forecast track shows that from 7 AM Wednesday to 7 AM Sunday, the storm is expected to be a tropical storm or hurricane with sustained winds below 110 mph, as indicated by the symbols and wind speed categories on the map.","The forecast track shows that Hurricane Laura is expected to have sustained winds exceeding 110 mph from 7 AM Wednesday to 7 AM Sunday, as indicated by the 'H' symbols along the track.","The forecast track shows that Hurricane Laura is expected to have sustained winds exceeding 110 mph from 7 AM Wednesday to 7 AM Sunday, as indicated by the 'H' symbols along the track.","The forecast track shows that Hurricane Laura is expected to have sustained winds exceeding 110 mph from 7 AM Wednesday to 7 AM Sunday, as indicated by the 'H' symbols along the track.","The forecast track shows that Hurricane Laura is expected to have sustained winds exceeding 110 mph from 7 AM Wednesday to 7 AM Sunday, as indicated by the 'H' symbols along the track.","The forecast track shows that from 7 AM Wednesday to 7 AM Sunday, the storm is expected to be a tropical storm or hurricane with sustained winds below 110 mph, as indicated by the symbols and wind speed categories on the map.","The forecast track shows that Hurricane Laura is expected to have sustained winds exceeding 110 mph from 7 AM Wednesday to 7 AM Sunday, as indicated by the 'H' symbols along the track.","The forecast track shows that from 7 AM Wednesday to 7 AM Sunday, the storm is expected to be a tropical storm or hurricane with sustained winds below 110 mph, as indicated by the symbols and wind speed categories on the map.","The forecast track shows that Hurricane Laura is expected to have sustained winds exceeding 110 mph from 7 AM Wednesday to 7 AM Sunday, as indicated by the 'H' symbols along the track.","The forecast track shows that from 7 AM Wednesday to 7 AM Sunday, the storm is expected to be a tropical storm or hurricane with sustained winds below 110 mph, as indicated by the symbols and wind speed categories on the map."
7,vis02.png,"From 10 AM Tue to 7 PM Wed, in which direction does the hurricane primarily move?",C,D,A,D,D,B,C,B,D,B,D,A,C,A,C,B,C,B,C,B,0,0,0,0,0,1,1,1,0,1,The forecast track shows the hurricane moving northward from 10 AM Tuesday to 7 PM Wednesday.,The forecast track shows the hurricane moving northward from 10 AM on Tuesday to 7 PM on Wednesday.,The forecast track shows the hurricane moving northward from 10 AM Tuesday to 7 PM Wednesday.,The forecast track shows the hurricane moving northward from 10 AM on Tuesday to 7 PM on Wednesday.,The forecast track shows the hurricane moving northward from 10 AM on Tuesday to 7 PM on Wednesday.,The forecast track shows the hurricane moving northwest from 10 AM Tuesday to 7 PM Wednesday.,"The forecast track shows the hurricane moving from the Gulf of Mexico towards the central United States. From 10 AM Tuesday to 7 PM Wednesday, the path indicates a northwest direction.","The forecast track shows the hurricane moving from the Gulf of Mexico towards the central United States, indicating a northwest direction between 10 AM Tuesday and 7 PM Wednesday.",The forecast track shows the hurricane moving northward from 10 AM on Tuesday to 7 PM on Wednesday.,The forecast track shows the hurricane moving northwest from 10 AM Tuesday to 7 PM Wednesday.
8,vis02.png,The hurricane is expected to reach the coast between ___.,C,D,A,D,D,B,C,B,D,B,C,C,C,C,C,D,C,B,B,C,1,0,0,0,0,0,1,1,0,0,"The forecast track shows the hurricane moving towards the coast between 7 PM Wednesday and 7 AM Thursday, as indicated by the path of the storm center on the map.","The forecast track shows the hurricane moving towards the coast between 7 AM and 7 PM on Thursday, as indicated by the path lines on the map.","The forecast track shows the hurricane moving towards the coast between 7 AM Fri and 7 AM Sat, as indicated by the path on the map.","The forecast track shows the hurricane moving towards the coast between 7 AM and 7 PM on Thursday, as indicated by the path lines on the map.",The forecast track shows the hurricane moving towards the coast between 7 AM on Friday and 7 AM on Saturday.,"The forecast track shows the hurricane moving towards the coast between 7 AM Thu and 7 PM Thu, as indicated by the path on the map.","The forecast track shows the hurricane moving towards the coast between 7 PM Wednesday and 7 AM Thursday, as indicated by the path on the map.",The forecast track shows the hurricane moving towards the coast between 7 PM on Wednesday and 7 AM on Thursday.,"The forecast track shows the hurricane moving towards the coast between 7 AM and 7 PM on Thursday, as indicated by the path on the map.","The forecast track shows the hurricane moving towards the coast between 7 AM Thu and 7 PM Thu, as indicated by the path of the storm center on the map."
9,vis02.png,"From 10 AM Tue to 7 AM Fri, the hurricane's sustained wind speed _____.",D,A,C,A,C,C,A,A,C,D,B,B,C,B,C,A,D,C,C,A,0,0,1,0,1,0,0,0,1,0,"The map shows the hurricane's path with increasing wind speeds from 10 AM Tuesday to 7 AM Friday, indicating a sustained increase in wind speed during this period.","The forecast positions show the hurricane moving from a tropical storm to a hurricane, indicating an increase in sustained wind speed from 39-73 mph to 74-110 mph between 10 AM Tue and 7 AM Fri.","The forecast positions show the hurricane moving from a tropical storm to a hurricane and then back to a tropical storm, indicating an increase in wind speed followed by a decrease.","The forecast positions show the hurricane moving from a tropical storm to a hurricane, indicating an increase in sustained wind speed from 39-73 mph to 74-110 mph between 10 AM Tue and 7 AM Fri.","The map shows the hurricane's wind speed increasing from 'H' (74-110 mph) on Tuesday to 'M' (> 110 mph) by Wednesday, then decreasing to 'H' again by Friday.","The forecast positions show the hurricane moving from a tropical storm to a hurricane, indicating an increase in sustained wind speed from 39-73 mph to 74-110 mph.","The map shows the hurricane's path with increasing wind speeds from 10 AM Tuesday to 7 AM Friday, as indicated by the transition from 'H' (74-110 mph) to 'M' (>110 mph).","The forecast positions show the hurricane moving from a tropical storm to a hurricane, indicating an increase in sustained wind speed from 39-73 mph to 74-110 mph between 10 AM Tue and 7 AM Fri.","The map shows the hurricane's path with wind speed categories. From 10 AM on Tuesday to 7 AM on Wednesday, the hurricane is in the 'H' category (74-110 mph), indicating an increase. From 7 AM on Wednesday to 7 PM on Thursday, it moves into the 'S' category (39-73 mph), indicating a decrease in wind speed.","The forecast positions show the hurricane moving from a tropical storm to a hurricane, indicating an increase in sustained wind speed from 39-73 mph to 74-110 mph."
10,vis03.png,"During the past week, the sea surface temperatures in the Pacific Ocean between 0-20N and 140-160E mostly ____ .",A,C,B,C,A,D,B,D,B,C,D,D,C,D,C,C,A,B,C,D,0,0,0,0,0,0,0,0,0,0,"The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly in the yellow to orange range, which corresponds to an increase in temperature. The color scale indicates that this range represents an increase of about 1.25 degC per week.","The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly yellow and green, which correspond to a decrease in temperature. The color scale indicates that these colors represent a decrease of about 1.25 degC per week.","The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly yellow and orange, which correspond to an increase in temperature. The color scale indicates that these colors represent an increase of about 1.25 degC per week.","The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly yellow and green, which correspond to a decrease in temperature. The color scale indicates that these colors represent a decrease of about 1.25 degC per week.","The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly yellow and orange, which correspond to an increase in temperature. According to the color scale, these colors represent an increase of about 1.25 degC per week.","The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly yellow and orange, which correspond to an increase in temperature. The color scale indicates that these colors represent an increase of about 1.25 degC per week.",The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating a temperature increase. The color gradient suggests an increase of around 1.25 degC per week in this region.,"The map shows the Pacific Ocean region between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly blue, which corresponds to a decrease in temperature. The color gradient indicates that a blue shade in this area represents a decrease of about 1.25 degC per week.","The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly yellow and orange, which correspond to an increase in temperature. According to the color scale, these colors represent an increase of about 1.25 degC per week.","The map shows the Pacific Ocean between 0-20N and 140-160E with colors indicating temperature changes. The colors in this region are predominantly in the yellow to orange range, which corresponds to an increase in temperature. The color scale indicates that this range represents an increase of about 1.25 degC per week."
